CASE_ID,TYPE,DATE,CREATOR,LOCATION,STATUS,ASSIGNEE
1,Bug,2024-01-01,User1,New York,Open,UserA
2,Feature,2024-01-02,User2,Los Angeles,Closed,UserB
3,Improvement,2024-01-03,User3,Chicago,In Progress,UserC
4,Task,2024-01-04,User4,Houston,Open,UserD
5,Bug,2024-01-05,User5,Phoenix,Closed,UserE
6,Feature,2024-01-06,User6,Philadelphia,In Progress,UserF
7,Improvement,2024-01-07,User7,San Antonio,Open,UserG
8,Task,2024-01-08,User8,San Diego,Closed,UserH
9,Bug,2024-01-09,User9,Dallas,In Progress,UserI
10,Feature,2024-01-10,User10,San Jose,Open,UserJ
11,Improvement,2024-01-11,User11,Austin,Closed,UserK
12,Task,2024-01-12,User12,Jacksonville,In Progress,UserL
13,Bug,2024-01-13,User13,Fort Worth,Open,UserM
14,Feature,2024-01-14,User14,Columbus,Closed,UserN
15,Improvement,2024-01-15,User15,Charlotte,In Progress,UserO
16,Task,2024-01-16,User16,San Francisco,Open,UserP
17,Bug,2024-01-17,User17,Indianapolis,Closed,UserQ
18,Feature,2024-01-18,User18,Seattle,In Progress,UserR
19,Improvement,2024-01-19,User19,Denver,Open,UserS
20,Task,2024-01-20,User20,Washington,Closed,UserT
21,Bug,2024-01-21,User21,Boston,In Progress,UserU
22,Feature,2024-01-22,User22,El Paso,Open,UserV
23,Improvement,2024-01-23,User23,Detroit,Closed,UserW
24,Task,2024-01-24,User24,Nashville,In Progress,UserX
25,Bug,2024-01-25,User25,Memphis,Open,UserY
26,Feature,2024-01-26,User26,Portland,Closed,UserZ
27,Improvement,2024-01-27,User27,Oklahoma City,In Progress,UserAA
28,Task,2024-01-28,User28,Las Vegas,Open,UserBB
29,Bug,2024-01-29,User29,Louisville,Closed,UserCC
30,Feature,2024-01-30,User30,Baltimore,In Progress,UserDD
31,Improvement,2024-01-31,User31,Milwaukee,Open,UserEE
32,Task,2024-02-01,User32,Albuquerque,Closed,UserFF
33,Bug,2024-02-02,User33,Tucson,In Progress,UserGG
34,Feature,2024-02-03,User34,Fresno,Open,UserHH
35,Improvement,2024-02-04,User35,Mesa,Closed,UserII
36,Task,2024-02-05,User36,Sacramento,In Progress,UserJJ
37,Bug,2024-02-06,User37,Kansas City,Open,UserKK
38,Feature,2024-02-07,User38,Long Beach,Closed,UserLL
39,Improvement,2024-02-08,User39,Atlanta,In Progress,UserMM
40,Task,2024-02-09,User40,Colorado Springs,Open,UserNN
41,Bug,2024-02-10,User41,Raleigh,Closed,UserOO
42,Feature,2024-02-11,User42,Miami,In Progress,UserPP
43,Improvement,2024-02-12,User43,Virginia Beach,Open,UserQQ
44,Task,2024-02-13,User44,Omaha,Closed,UserRR
45,Bug,2024-02-14,User45,Oakland,In Progress,UserSS
46,Feature,2024-02-15,User46,Minneapolis,Open,UserTT
47,Improvement,2024-02-16,User47,Tulsa,Closed,UserUU
48,Task,2024-02-17,User48,Arlington,In Progress,UserVV
49,Bug,2024-02-18,User49,New Orleans,Open,UserWW
50,Improvement,2024-02-19,User50,San Francisco,Closed,UserXX